# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      68.680       29.800      166.242     7987.664
      68.781       79.500      166.242     7987.664
      68.882       29.800      166.250     7987.664
      68.982        0.000      166.250     7987.664
      69.083        9.900      166.250     7987.664
      69.184        0.000      166.250     7987.664
      69.285       19.800      166.250     7987.664
      69.386       89.500      166.250     7987.664
      69.486       19.900      166.766     7987.664
      69.587       39.700      166.371     7987.664
      69.688       39.700      166.371     7987.664
      69.789       89.300      166.375     7987.664
      69.889       29.800      166.375     7987.664
      69.990        0.000      166.375     7987.664
      70.091        0.000      166.375     7987.664
      70.191        0.000      166.375     7987.664
      70.292        9.900      166.375     7987.664
      70.393        0.000      166.375     7987.664
      70.494       99.100      166.375     7987.664
      70.595       79.500      166.238     7987.664
      70.695       19.800      166.238     7987.664
      70.796       99.300      166.238     7987.664
      70.897        9.900      166.238     7987.664
      70.997        0.000      166.238     7987.664
      71.099        9.900      166.238     7987.664
      71.199        0.000      166.238     7987.664
      71.300        9.900      166.238     7987.664
      71.401        0.000      166.238     7987.664
      71.501        0.000      166.238     7987.664
      71.602       89.600      166.246     7987.664
      71.702       99.500      166.766     7987.664
      71.803      109.500      166.766     7987.664
      71.903        9.900      166.766     7987.664
      72.004        0.000      166.766     7987.664
      72.105        0.000      166.766     7987.664
      72.206        0.000      166.766     7987.664
      72.306       19.800      166.766     7987.664
      72.407        0.000      166.766     7987.664
      72.508        9.900      166.766     7987.664
      72.609       19.900      166.281     7987.664
      72.709       59.600      166.281     7987.664
      72.810      119.400      166.293     7987.664
      72.910      109.400      166.684     7987.664
      73.011        0.000      166.684     7987.664
      73.112        0.000      166.684     7987.664
      73.212        9.900      166.684     7987.664
      73.313        0.000      166.684     7987.664
      73.414        0.000      166.684     7987.664
      73.514        0.000      166.688     7987.664
      73.615       39.700      166.691     7987.664
      73.716       39.700      166.391     7987.664
      73.816       49.700      166.402     7987.664
      73.917       29.800      166.406     7987.664
      74.018       99.300      166.406     7987.664
      74.118       69.500      166.664     7987.664
      74.219        0.000      166.664     7987.664
      74.320        9.900      166.664     7987.664
      74.420        0.000      166.664     7987.664
      74.521       19.900      166.664     7987.664
      74.621       29.800      166.266     7987.664
      74.722       39.800      166.266     7987.664
      74.822       39.800      166.266     7987.664
      74.923        9.900      166.266     7987.664
      75.023        0.000      166.266     7987.664
      75.124       49.700      166.266     7987.664
      75.225       99.400      166.266     7987.664
      75.325       39.800      166.266     7987.664
      75.426        0.000      166.266     7987.664
      75.526        0.000      166.266     7987.664
      75.627       49.700      166.270     7987.664
      75.728        9.900      166.270     7987.664
      75.828       69.600      166.277     7987.664
      75.929       29.800      166.277     7987.664
      76.029        0.000      166.277     7987.664
      76.130        0.000      166.277     7987.664
      76.231        0.000      166.277     7987.664
      76.331       79.500      166.277     7987.664
      76.432       49.700      166.793     7987.664
      76.533        0.000      166.793     7987.664
      76.633       39.700      166.402     7987.664
      76.734       19.900      166.402     7987.664
      76.835       59.600      166.414     7987.664
      76.936       19.800      166.414     7987.664
      77.036        0.000      166.414     7987.664
      77.137        9.900      166.414     7987.664
      77.237        0.000      166.414     7987.664
      77.338        0.000      166.414     7987.664
      77.438       49.800      166.414     7987.664
      77.538       59.700      166.672     7987.664
