timedelta,P,Q
139200,-1223.49047851562,-122.349047851562
139500,-1211.65698242188,-121.165698242188
139800,-1199.56176757812,-119.956176757812
140100,-1187.20495605469,-118.720495605469
140400,-1174.58630371094,-117.458630371094
140700,-1166.96594238281,-116.696594238281
141000,-1158.755859375,-115.8755859375
141300,-1149.94482421875,-114.994482421875
141600,-1140.52124023438,-114.052124023438
141900,-1130.47436523438,-113.047436523438
142200,-1119.79357910156,-111.979357910156
142500,-1108.46826171875,-110.846826171875
142800,-1096.48864746094,-109.648864746094
143100,-1083.84509277344,-108.384509277344
143400,-1070.52807617188,-107.052807617188
143700,-1069.2158203125,-106.92158203125
144000,-1053.99670410156,-105.399670410156
144300,-1020.02465820312,-102.002465820312
144600,-997.938171386719,-99.7938171386719
144900,-975.58251953125,-97.558251953125
145200,-952.961181640625,-95.2961181640625
145500,-930.077575683594,-93.0077575683594
145800,-906.935363769531,-90.6935363769531
146100,-883.538269042969,-88.3538269042969
146400,-859.890258789062,-85.9890258789062
146700,-835.995300292969,-83.5995300292969
147000,-811.857482910156,-81.1857482910156
147300,-787.481018066406,-78.7481018066406
147600,-762.870300292969,-76.2870300292969
147900,-729.1015625,-72.91015625
148200,-696.079467773438,-69.6079467773438
148500,-663.825622558594,-66.3825622558594
148800,-632.360046386719,-63.2360046386719
149100,-601.701110839844,-60.1701110839844
149400,-571.865112304688,-57.1865112304688
149700,-542.866333007812,-54.2866333007812
150000,-514.716613769531,-51.4716613769531
150300,-486.202850341797,-48.6202850341797
150600,-460.216186523438,-46.0216186523438
150900,-435.079437255859,-43.5079437255859
151200,-410.788757324219,-41.0788757324219
151500,-385.377746582031,-38.5377746582031
151800,-360.627899169922,-36.0627899169922
152100,-336.546630859375,-33.6546630859375
152400,-313.139770507812,-31.3139770507812
152700,-290.411651611328,-29.0411651611328
153000,-268.364959716797,-26.8364959716797
153300,-247.00048828125,-24.700048828125
153600,-226.317047119141,-22.6317047119141
153900,-206.311218261719,-20.6311218261719
154200,-186.977035522461,-18.6977035522461
154500,-175.708511352539,-17.5708511352539
154800,-173.873779296875,-17.3873779296875
155100,-164.486038208008,-16.4486038208008
155400,-155.092437744141,-15.5092437744141
155700,-145.696762084961,-14.5696762084961
156000,-136.303527832031,-13.6303527832031
156300,-126.918251037598,-12.6918251037598
156600,-117.54768371582,-11.754768371582
156900,-108.200263977051,-10.8200263977051
157200,-98.8866424560547,-9.88866424560547
157500,-89.6203536987305,-8.96203536987305
157800,-80.4186630249023,-8.04186630249023
158100,-71.3032913208008,-7.13032913208008
158400,-62.300594329834,-6.2300594329834
158700,-56.4027442932129,-5.64027442932129
159000,-50.5396308898926,-5.05396308898926
159300,-44.793815612793,-4.4793815612793
159600,-56.0394897460938,-5.60394897460938
159900,-49.9512672424316,-4.99512672424316
160200,-43.8497085571289,-4.38497085571289
160500,-37.7349243164062,-3.77349243164062
160800,-31.6070175170898,-3.16070175170898
161100,-25.4661026000977,-2.54661026000977
161400,-19.3123016357422,-1.93123016357422
161700,-13.1457357406616,-1.31457357406616
162000,-6.96653509140015,-0.696653509140015
162300,-6.39296340942383,-0.639296340942383
162600,-5.81807851791382,-0.581807851791382
162900,-5.24189281463623,-0.524189281463623
163200,-4.66441965103149,-0.466441965103149
163500,-4.08567237854004,-0.408567237854004
163800,-3.50566506385803,-0.350566506385803
164100,-2.92441201210022,-0.292441201210022
164400,-2.34192800521851,-0.234192800521851
164700,-1.7582288980484,-0.17582288980484
165000,-1.17333006858826,-0.117333006858826
165300,-0.587248206138611,-0.0587248206138611
165600,0,0
165900,0,0
166200,0,0
166500,0,0
166800,0,0
167100,0,0
167400,0,0
167700,0,0
168000,0,0
168300,0,0
168600,0,0
168900,0,0
169200,0,0
169500,0,0
169800,0,0
170100,0,0
170400,0,0
170700,0,0
171000,0,0
171300,0,0
171600,0,0
171900,0,0
172200,0,0
172500,0,0
172800,0,0
173100,0,0
173400,0,0
173700,0,0
174000,0,0
174300,0,0
174600,0,0
174900,0,0
175200,0,0
175500,0,0
175800,0,0
176100,0,0
176400,0,0
176700,0,0
177000,0,0
177300,0,0
177600,0,0
177900,0,0
178200,0,0
178500,0,0
178800,0,0
179100,0,0
179400,0,0
179700,0,0
180000,0,0
180300,0,0
180600,0,0
180900,0,0
181200,0,0
181500,0,0
181800,0,0
182100,0,0
182400,0,0
182700,0,0
183000,0,0
183300,0,0
183600,0,0
183900,0,0
184200,0,0
184500,0,0
184800,0,0
185100,0,0
185400,0,0
185700,0,0
186000,0,0
186300,0,0
186600,0,0
186900,0,0
187200,0,0
187500,-4.49807929992676,-0.449807929992676
187800,-8.64384269714355,-0.864384269714355
188100,-12.8172626495361,-1.28172626495361
188400,-16.9562454223633,-1.69562454223633
188700,-21.0813598632812,-2.10813598632812
189000,-25.2021217346191,-2.52021217346191
189300,-29.3224792480469,-2.93224792480469
189600,-33.4436988830566,-3.34436988830566
189900,-37.5658187866211,-3.75658187866211
190200,-41.6883544921875,-4.16883544921875
190500,-45.8106231689453,-4.58106231689453
190800,-49.9318962097168,-4.99318962097168
191100,-54.0384330749512,-5.40384330749512
191400,-58.1406478881836,-5.81406478881836
191700,-62.2379570007324,-6.22379570007324
192000,-66.3298416137695,-6.63298416137695
192300,-70.4158325195312,-7.04158325195312
192600,-74.4955139160156,-7.44955139160156
192900,-78.7170181274414,-7.87170181274414
193200,-83.1006164550781,-8.31006164550781
193500,-87.5297012329102,-8.75297012329102
193800,-92.0038528442383,-9.20038528442383
194100,-96.5227279663086,-9.65227279663086
194400,-101.086013793945,-10.1086013793945
194700,-113.227027893066,-11.3227027893066
195000,-125.483528137207,-12.5483528137207
195300,-137.863311767578,-13.7863311767578
195600,-150.371200561523,-15.0371200561523
195900,-163.009872436523,-16.3009872436523
196200,-175.780334472656,-17.5780334472656
196500,-188.682479858398,-18.8682479858398
196800,-201.715286254883,-20.1715286254883
197100,-214.877090454102,-21.4877090454102
197400,-228.165740966797,-22.8165740966797
197700,-241.578704833984,-24.1578704833984
198000,-255.113174438477,-25.5113174438477
198300,-263.348815917969,-26.3348815917969
198600,-271.495574951172,-27.1495574951172
198900,-279.553466796875,-27.9553466796875
199200,-287.522766113281,-28.7522766113281
199500,-295.403778076172,-29.5403778076172
199800,-303.196960449219,-30.3196960449219
200100,-310.902923583984,-31.0902923583984
200400,-318.522338867188,-31.8522338867188
200700,-326.055999755859,-32.6055999755859
201000,-333.504730224609,-33.3504730224609
201300,-340.869598388672,-34.0869598388672
201600,-348.151611328125,-34.8151611328125
201900,-363.877044677734,-36.3877044677734
202200,-379.681396484375,-37.9681396484375
202500,-395.561767578125,-39.5561767578125
202800,-411.515197753906,-41.1515197753906
203100,-427.538696289062,-42.7538696289062
203400,-443.629089355469,-44.3629089355469
203700,-459.783294677734,-45.9783294677734
204000,-475.998077392578,-47.5998077392578
204300,-492.270233154297,-49.2270233154297
204600,-508.596466064453,-50.8596466064453
204900,-524.973449707031,-52.4973449707031
205200,-541.397888183594,-54.1397888183594
205500,-540.267883300781,-54.0267883300781
205800,-539.004821777344,-53.9004821777344
206100,-537.612548828125,-53.7612548828125
206400,-536.095031738281,-53.6095031738281
206700,-534.456176757812,-53.4456176757812
207000,-532.699829101562,-53.2699829101562
207300,-530.829895019531,-53.0829895019531
207600,-528.850219726562,-52.8850219726562
207900,-526.7646484375,-52.67646484375
208200,-524.5771484375,-52.45771484375
208500,-522.291564941406,-52.2291564941406
208800,-519.911926269531,-51.9911926269531
209100,-511.145965576172,-51.1145965576172
209400,-502.337280273438,-50.2337280273438
209700,-493.487823486328,-49.3487823486328
210000,-484.599517822266,-48.4599517822266
210300,-475.674285888672,-47.5674285888672
210600,-466.7138671875,-46.67138671875
210900,-457.720031738281,-45.7720031738281
211200,-448.694549560547,-44.8694549560547
211500,-439.639038085938,-43.9639038085938
211800,-430.555267333984,-43.0555267333984
212100,-421.44482421875,-42.144482421875
212400,-412.309417724609,-41.2309417724609
212700,-408.812744140625,-40.8812744140625
213000,-405.309387207031,-40.5309387207031
213300,-401.799530029297,-40.1799530029297
213600,-398.283325195312,-39.8283325195312
213900,-394.760986328125,-39.4760986328125
214200,-391.232696533203,-39.1232696533203
214500,-387.698699951172,-38.7698699951172
214800,-384.1591796875,-38.41591796875
215100,-380.614379882812,-38.0614379882812
215400,-377.064575195312,-37.7064575195312
215700,-373.509979248047,-37.3509979248047
216000,-369.950927734375,-36.9950927734375
216300,-400.394653320312,-40.0394653320312
216600,-430.829742431641,-43.0829742431641
216900,-461.250427246094,-46.1250427246094
217200,-491.65087890625,-49.165087890625
217500,-522.025329589844,-52.2025329589844
217800,-552.368041992188,-55.2368041992188
