timestamp,load_1_p,load_1_q,pv_1_p,pv_1_q,load_2_p,load_2_q,pv_2_p,pv_2_q,load_3_p,load_3_q,pv_3_p,pv_3_q,load_4_p,load_4_q,pv_4_p,pv_4_q,load_5_p,load_5_q,pv_5_p,pv_5_q
33,0.271141986247962,0.10626552226435845,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.726634488810882,0.28478139633516053,-0.0,-0.0
34,0.7304884100092153,0.2862918188063304,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.13448144865138661,0.052705748650591064,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
35,0.7304884100092153,0.2862918188063304,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.364695453969862,0.14293084379821305,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
36,0.7304884100092153,0.2862918188063304,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.364695453969862,0.14293084379821305,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
37,0.7304884100092153,0.2862918188063304,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.2495884513106243,0.09781829622440205,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
38,0.271141986247962,0.10626552226435845,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
39,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.17453347969264543,0.06840287492470257,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
40,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.43402854006586167,0.1701037531146377,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.4083369899078544,0.16003476294051958,-0.0,-0.0
41,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.823271130625686,0.32265507039954044,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.5963141728828434,0.23370647199244152,-0.0,-0.0
42,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.823271130625686,0.32265507039954044,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.5963141728828434,0.23370647199244152,-0.0,-0.0
43,0.15630538030764868,0.06125894812886547,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.823271130625686,0.32265507039954044,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.5963141728828434,0.23370647199244152,-0.0,-0.0
44,0.2641241936627206,0.10351512051163388,-0.0,-0.0,0.3602825745682888,0.14120135534536624,-0.0,-0.0,0.823271130625686,0.32265507039954044,-0.0,-0.0,0.07692794732176778,0.03014947486368557,-0.0,-0.0,0.1263712154453708,0.04952719936263662,-0.0,-0.0
45,0.6953994470830084,0.27253981004270755,-0.008926829268292682,-0.0,0.3602825745682888,0.14120135534536624,-0.008926829268292682,-0.0,0.17453347969264543,0.06840287492470257,-0.008926829268292682,-0.0,0.07692794732176778,0.03014947486368557,-0.008926829268292682,-0.0,0.8767003071522598,0.3435949455782915,-0.008926829268292682,-0.0
46,0.6953994470830084,0.27253981004270755,-0.03525950455327007,-0.0,0.3602825745682888,0.14120135534536624,-0.03525950455327007,-0.0,0.17453347969264543,0.06840287492470257,-0.03525950455327007,-0.0,0.07692794732176778,0.03014947486368557,-0.03525950455327007,-0.0,0.8767003071522598,0.3435949455782915,-0.03525950455327007,-0.0
47,0.925072658963635,0.36255295831369355,-0.09614978029675858,-0.0,0.3602825745682888,0.14120135534536624,-0.09614978029675858,-0.0,0.17453347969264543,0.06840287492470257,-0.09614978029675858,-0.0,0.07692794732176778,0.03014947486368557,-0.09614978029675858,-0.0,0.8767003071522598,0.3435949455782915,-0.09614978029675858,-0.0
48,1.161763663429503,0.4553165083374041,-0.21076227472457493,-0.0,0.3602825745682888,0.14120135534536624,-0.21076227472457493,-0.0,0.17453347969264543,0.06840287492470257,-0.21076227472457493,-0.0,0.07692794732176778,0.03014947486368557,-0.21076227472457493,-0.0,0.8767003071522598,0.3435949455782915,-0.21076227472457493,-0.0
49,0.7304884100092153,0.2862918188063304,-0.30009552314844296,-0.0,0.3602825745682888,0.14120135534536624,-0.30009552314844296,-0.0,0.17453347969264543,0.06840287492470257,-0.30009552314844296,-0.0,0.2495884513106243,0.09781829622440205,-0.30009552314844296,-0.0,0.42650285212812644,0.1671542978488986,-0.30009552314844296,-0.0
50,0.7304884100092153,0.2862918188063304,-0.3023880787110743,-0.0,0.3602825745682888,0.14120135534536624,-0.3023880787110743,-0.0,0.17453347969264543,0.06840287492470257,-0.3023880787110743,-0.0,0.364695453969862,0.14293084379821305,-0.3023880787110743,-0.0,0.1263712154453708,0.04952719936263662,-0.3023880787110743,-0.0
51,0.7304884100092153,0.2862918188063304,-0.28570973699293134,-0.0,0.3602825745682888,0.14120135534536624,-0.28570973699293134,-0.0,0.17453347969264543,0.06840287492470257,-0.28570973699293134,-0.0,0.364695453969862,0.14293084379821305,-0.28570973699293134,-0.0,0.1263712154453708,0.04952719936263662,-0.28570973699293134,-0.0
52,0.15630538030764868,0.06125894812886547,-0.30338151945488123,-0.0,0.3602825745682888,0.14120135534536624,-0.30338151945488123,-0.0,0.17453347969264543,0.06840287492470257,-0.30338151945488123,-0.0,0.13448144865138661,0.052705748650591064,-0.30338151945488123,-0.0,0.1263712154453708,0.04952719936263662,-0.30338151945488123,-0.0
53,0.15630538030764868,0.06125894812886547,-0.4009870725339107,-0.0,0.3602825745682888,0.14120135534536624,-0.4009870725339107,-0.0,0.17453347969264543,0.06840287492470257,-0.4009870725339107,-0.0,0.07692794732176778,0.03014947486368557,-0.4009870725339107,-0.0,0.5963141728828434,0.23370647199244152,-0.4009870725339107,-0.0
54,0.15630538030764868,0.06125894812886547,-0.5506145322549831,-0.0,0.3602825745682888,0.14120135534536624,-0.5506145322549831,-0.0,0.30428100987925355,0.11925331401967014,-0.5506145322549831,-0.0,0.07692794732176778,0.03014947486368557,-0.5506145322549831,-0.0,0.5963141728828434,0.23370647199244152,-0.5506145322549831,-0.0
55,0.15630538030764868,0.06125894812886547,-0.63303190473158,-0.0,0.3602825745682888,0.14120135534536624,-0.63303190473158,-0.0,0.823271130625686,0.32265507039954044,-0.63303190473158,-0.0,0.07692794732176778,0.03014947486368557,-0.63303190473158,-0.0,0.5963141728828434,0.23370647199244152,-0.63303190473158,-0.0
56,0.15630538030764868,0.06125894812886547,-0.6732853594854487,-0.0,0.3602825745682888,0.14120135534536624,-0.6732853594854487,-0.0,0.823271130625686,0.32265507039954044,-0.6732853594854487,-0.0,0.07692794732176778,0.03014947486368557,-0.6732853594854487,-0.0,0.4083369899078544,0.16003476294051958,-0.6732853594854487,-0.0
57,0.2641241936627206,0.10351512051163388,-0.7520346430618353,-0.0,0.3602825745682888,0.14120135534536624,-0.7520346430618353,-0.0,0.823271130625686,0.32265507039954044,-0.7520346430618353,-0.0,0.07692794732176778,0.03014947486368557,-0.7520346430618353,-0.0,0.1263712154453708,0.04952719936263662,-0.7520346430618353,-0.0
58,0.6953994470830084,0.27253981004270755,-0.8418837164872955,-0.0,0.3602825745682888,0.14120135534536624,-0.8418837164872955,-0.0,0.823271130625686,0.32265507039954044,-0.8418837164872955,-0.0,0.07692794732176778,0.03014947486368557,-0.8418837164872955,-0.0,0.1263712154453708,0.04952719936263662,-0.8418837164872955,-0.0
59,0.6953994470830084,0.27253981004270755,-0.9117111379991084,-0.0,0.3602825745682888,0.14120135534536624,-0.9117111379991084,-0.0,0.30428100987925355,0.11925331401967014,-0.9117111379991084,-0.0,0.07692794732176778,0.03014947486368557,-0.9117111379991084,-0.0,0.1263712154453708,0.04952719936263662,-0.9117111379991084,-0.0
60,0.6953994470830084,0.27253981004270755,-0.9699611539196331,-0.0,0.3602825745682888,0.14120135534536624,-0.9699611539196331,-0.0,0.17453347969264543,0.06840287492470257,-0.9699611539196331,-0.0,0.07692794732176778,0.03014947486368557,-0.9699611539196331,-0.0,0.1263712154453708,0.04952719936263662,-0.9699611539196331,-0.0
